URL,Question,Answer
https://mapleleafshotstove.com/2025/01/09/toronto-maple-leafs-vs-carolina-hurricanes-game-43-preview-projected-lines-tv-info/,Knies on the keys to success for the five-forward power play against a top-ranked Hurricanes PK:,Keep it simple. Get it to the net. Try to create havoc. We need to not do too much and stick to the simple stuff. That is going to reward us.
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,MitchMarner on the opportunity to play with Connor McDavid after matching up against him so often as a kid:,"It was hard to keep him to three points back in the day, realistically. It was always a lot of fun to play against him because you knew you were going to get the best player. It is not a surprise to see what he is doing now. The first one was probably when I played for the Whitby Wildcats, and he was on York Simcoe. I don’t know how old we would’ve been there. I remember that we had a final against each other, and he got the upper hand in it. It was for the OMHA Championship or something. It was a tough one. He has always had that speed and skill set. He has just continued to get better and better. It’s been [really] impressive."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Marner on the challenge against Team Sweden:,"Every team in the tournament has a lot of skill and can make plays. It is about staying patient through the game, knowing that it is not going to be an easy one in any of the games. You are going to have to work for it. When you get opportunities, try not to miss."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Marner on the opportunity to seek revenge after a loss to Wiliam Nylander and Team Sweden in the World Championships back in 2017:,"We have played against each other before in these kinds of events. It is always great to play against your teammates. There is always a bit of chirping going on. It is going to be a fun one. With the Worlds, some guys can’t be there. That is why this tournament is really exciting. It is best-on-best. We have everyone here. That is what you are looking forward to."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Marner on the key to shutting down Nylander:,"Try not to watch the puck. He likes to make people look silly. He is very, very skilled out there. He is smooth with the puck and makes a lot of things happen when it doesn’t look like something should be there."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Marner on the opportunity to play at the Bell Center as the home team:,It will be nice to be on their side for once. It will be nice to be cheered for rather than booed and yelled at.
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,William Nylander on who he is looking forward to playing with the most on Team Sweden:,"There are obviously a bunch of incredible players, but I have seen Victor Hedman a lot through the years on the other side. It will be fun to play with him."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Nylander on his past experience playing against Mitch Marner at the World Championships:,"Was that the time we won? Yeah, so it was obviously a lot of fun playing against him. We won that won, so hopefully we win again."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Nylander on whether there is a way to key in on Marner:,"It is so hard to say he does one particular thing. He is very, very shifty and hard to read."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Nylander on whether he considered competing for Team Canada as a Calgary-born kid:,"From when I was a kid, I always considered myself Swedish. When I realized I was good enough to compete for the junior national team, I wasn’t even thinking about playing for Canada or anything, although that was an option, too, if you look back at it at the time."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Nylander on the atmosphere he is anticipating in the Bell Centre tonight:,"Probably something like aLeafsvs. Habs game here. Very amped up, and a lot of fun. You are buzzing going into the game. Very exciting."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Nylander on the feeling of pulling on the Tre Kronor jersey:,"It is similar to the feeling of putting on theLeafsjersey. What an honour to play for your country and for theLeafs. I am just proud to represent them, and you want to put your best foot forward."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Jon Cooper on the questions from the outside about Team Canada’s goaltending:,"We get asked questions about forwards, defense, and goaltending. Everybody plays their positions. Ultimately, it is a team sport. That is it. When a goal is scored, for the most part, it is usually not the goalie’s fault, but he always gets the rap because he is the last one who sees it. He is the one who has to dig it out of the net when it is in there. Usually, there has been a progression of a blown backcheck, a missed hit, or some system breakdown all the way to the end. The goaltender, for 65 shot attempts and 30 shots at him a game, has to make the save. I don’t get into [that]. I look at the guys and say, “Well, that guy has won a Cup, and that guy has won a Cup.” I look over somewhere else and say, “He hasn’t won a Cup, and he hasn’t won a Cup.” You put guys in big-time situations, and it is about how they perform. On our team, we feel that we have a whole bunch of guys who have performed in pressure situations all the way through our lineup, but this is a team sport, man. You win and lose as a team. I feel that we are sold in every single position. I sleep well at night, thinking that I have this team to stand behind the bench with. I am excited about it."
https://mapleleafshotstove.com/2025/02/12/team-canada-vs-team-sweden-4-nations-face-off-projected-lines-discussion-tv-info/,Cooper on the level of pace and competitiveness he anticipates in tonight’s matchup:,"Hard to say. Because this is an entirely NHL event, all of the players know each other. Yesterday, it was a picture day, and teams were walking through the same hallways. Everybody is stopping each other and chatting. It is not an All-Star game feel, but everybody is talking to each other. Behind closed doors, I don’t think that is what is going on. I expect it to be as competitive as any international tournament. The difference is that we are all together right now. Teams are sharing hotels, so you are running into different situations like that. It is exactly how the bubble was. Everybody was together and having fun and conversing, but when those games started, it was a war. The only thing that was crazy was that there were no fans. After one period, you never noticed it anyway because of the competitiveness on the ice. I think this will be the same way."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,Craig Berube on the challenge presented by the Flyers:,"A very hard-working team and competitive team. They are probably one of the quickest teams we will see this year in transition. From defense to offense, they are gone. They are very active. They get up the ice very quickly. And they are highly competitive."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,Berube on Dennis Hildeby’s return to the crease after a brief spell in the AHL:,"He is still a young guy who is learning, but he has battled for us when he has been in there this year. He plays with confidence. Great size in net. Again, he is still learning, but he is learning in the NHL right now."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,Berube on the team’s first half as the schedule hits the 41-game mark:,"We have been in a lot of tight games this year, which is a good thing. We’re learning how to win those games when going into third periods with leads and playing a good period — a low-event third. We are not shooting ourselves in the foot. A lot of good things have happened in the first half, and there are obviously things we need to keep improving on. We can’t get complacent."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,Berube on the areas for improvement in the second half:,"Rush defense is always a concern for every team — it is such a fast league, and teams transition so quickly. The D are always up in the play. Better sort outs, and there are some times when we can manage the puck better and not give opportunities to teams the other way. We are getting better at it. Trust me, I think our team has bought into putting the puck in deep and going to work, but there is still improvement that can be made."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,Max Pacioretty on the team’s energy level heading into yet another back-to-back:,"I think the energy has been really good. There are points in the year when maybe it hasn’t been as good with the schedule and whatnot, but I feel like the boys are coming back to life in the last couple of games and are playing with some confidence. It is crazy how powerful the mind is. It makes these back-to-backs a little bit… I don’t want to say it’s easier, but it’s easier to keep your energy when things are going well. Things have been going pretty well lately. We like the way our game is trending. We know there are areas to improve, but it helps the energy levels as well."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,Pacioretty on the team’s first half:,"I like that it hasn’t been perfect. When it doesn’t go well, we have found ways to win. We have found ways to correct our mistakes in games that we have lost. For the top teams, it is never perfect early. When you go through a little bit of adversity in terms of style of play and whatnot, you realize what works and what doesn’t work, what works in tight games, and what doesn’t work in tight games. Some games are played that feel like playoff games, and we have to change our approach a little bit. We have done a really good job of that thus far."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,Pacioretty on Matthew Knies’ impact:,"People have often mentioned how big and strong he is. When guys come into the league, that is one of the areas they most often want to improve. He is almost the opposite of that, where he is already big and strong. He uses his body really well also. In the playoffs, guys who take defenders wide make for a long night and a long series. When someone like Kniesy is protecting the puck and bringing it hard to the paint, it is really hard to play against. It makes teams come back and stop in their own end, which is also very tiring. A big part of this team and the way we want to play is the way he has been playing as of late."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,Simon Benoit on Jake McCabe ending the 16-game goal-less drought for theLeafs‘ defense in Saturday’s 6-4 win over Boston:,"Jake and I had a running bet that the first to score gets $100. I just lost $100 yesterday. On that note, when we can contribute, it is always fun. Especially for me, I have a stay-at-home job. I need to focus on not getting scored on. When we can contribute offensively, it is always fun."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,"John Tortorella on tonight’s starter in the Flyers’ net, rookie Ivan Fedotov, who hasn’t played since Dec. 5:","It’s a hell of a spot that we’re putting him in, and he’s handled himself really well. He’s practiced well. I think the onus is on us to help him, against a really good team offensively, to make sure we’re playing strong in front of him."
https://mapleleafshotstove.com/2025/01/05/toronto-maple-leafs-vs-philadelphia-flyers-game-41-preview-projected-lines-tv-info/,Tortorella on the message to his team coming off of a 5-2 loss to Vegas:,"On the road trip we are on, I think we could’ve gotten points in all of the games. I need to approach the team and how we play, not just the result. As coaches now, we have to relay that message now that we have played some good hockey. We just have to stay within ourselves. We have to be extra focused as far as being as strong as we can be in front of Fed as he gets his feet on the ice. We’ll go from there."
https://mapleleafshotstove.com/2024/12/28/toronto-maple-leafs-vs-washington-capitals-game-37-preview-projected-lines-tv-info/,Capitals head coach Spencer Carbery on his team’s 3-1 win over theLeafsin early December:,"I thought it was one of our better games of the year. Coming into this building, we knew the challenge in front of us at the time, and it is no different tonight. You know they will be ready. It is fresh in their minds what happened that night and how we played. We were able to get to our game for good portions of that 60 minutes. We need to be ready, and we need to do a lot of the same things."
https://mapleleafshotstove.com/2024/12/28/toronto-maple-leafs-vs-washington-capitals-game-37-preview-projected-lines-tv-info/,Carbery on the differences in theMaple Leafs‘ game under Craig Berube:,"A couple of things. You are going to have to work your way through the forecheck pressure because you know they are going to put a ton of pucks in behind you. It may seem like an easy accomplishment to just break the forecheck pressure, but when they do it time and time and time again, eventually, they are hoping you crack one or two times. We have to stay consistent with our breakout structure, support it, and find ways to advance out of our zone. The other thing, which is maybe a little bit to do with the moves that they made with adding OEL and Taev: They defend the interior of the rink as well as anybody. Everyone talks about the goalies and how they’re having great years, but a lot of it is them protecting the inside of the rink. It is so hard to get in there with A) people and B) to get pucks delivered in there. They really push you to have to earn your offense against them at five-on-five."
https://mapleleafshotstove.com/2024/12/28/toronto-maple-leafs-vs-washington-capitals-game-37-preview-projected-lines-tv-info/,Carbery on the boost from the return of Alex Ovechkin to the lineup:,"The obvious one is the goal scoring, but I even think the threat of him being able to score lifts up our entire group. There is his presence, his infectious personality, and his demeanour. When he is on the ice — whether it is a power play, a faceoff, at five-on-five, or any moment — everybody in the building, along with our 19 other players, believes he can score. That lifts our entire group up."
https://mapleleafshotstove.com/2024/12/28/toronto-maple-leafs-vs-washington-capitals-game-37-preview-projected-lines-tv-info/,Craig Berube on the challenge presented by the Capitals:,"They are a very good team. If you look down the center ice, it is a deep center group. It is big, and their team has great size. I thought they added some defensemen who really drove their team up. Their goalies have been good. They play a good brand of hockey. It is very direct. I always say, “How do you want your team to look?” The Capitals get on a nightly basis how they want their team to look."
https://mapleleafshotstove.com/2024/12/28/toronto-maple-leafs-vs-washington-capitals-game-37-preview-projected-lines-tv-info/,Chris Tanev on building on the momentum of last night’s 5-2 win over Detroit:,"It is a good start. The two previous games weren’t how we wanted to play. It was good to get back to defending well, checking, and not giving up a bunch of chances against."
https://mapleleafshotstove.com/2024/12/28/toronto-maple-leafs-vs-washington-capitals-game-37-preview-projected-lines-tv-info/,Tanev on the challenge presented by the Capitals:,"They play a really good team game. If you look at their defense, they have six really good defensemen who move the puck well and skate well. Obviously, they have guys who can put the puck in the net. When everyone buys into what they are preaching over there, it translates."
https://mapleleafshotstove.com/2024/12/28/toronto-maple-leafs-vs-washington-capitals-game-37-preview-projected-lines-tv-info/,Tanev on the challenge of shutting down Alex Ovechkin:,"Obviously, he is the second-best shooter ever right now and potentially in the future will have the most goals. You don’t want to give him shots or opportunities in the scoring areas. It takes all five guys to help out and then have good sticks and know where he is all the time."
https://mapleleafshotstove.com/2024/12/28/toronto-maple-leafs-vs-washington-capitals-game-37-preview-projected-lines-tv-info/,Tanev on whether an Ovechkin shot hurts more to block:,They all hurt.
https://mapleleafshotstove.com/2025/02/23/toronto-maple-leafs-vs-chicago-blackhawks-game-57-preview-projected-lines-tv-broadcast-info/,Interim Blackhawks head coach Anders Sorensen on his team’s source of motivation in a non-competitive season:,"That is a good question. You have pride, right? You have pride as a player. You have pride as a group. Let’s be honest. There are a lot of guys who are playing for their future here, whether it is for us or for someone else. You have to be ready to go. It is a business. That is where it is at. You have to take pride in what you are doing. I don’t think it should matter where you are in the standings at this point. You have to take pride in what you are doing if you are a pro. That is the biggest part of it."
https://mapleleafshotstove.com/2025/02/23/toronto-maple-leafs-vs-chicago-blackhawks-game-57-preview-projected-lines-tv-broadcast-info/,Craig Berube on the keys to victory against this Chicago team:,"We have to focus on ourselves and how we want to start the game and play the game. That is the bottom line. We have to get to our game as quickly as possible and play it. We have to be competitive… They have good special teams — both the PK and the power play — with some guys who can put the puck in the net. They can make plays, starting with their guy, Bedard. They make plays in the offensive zone. They do a lot of good things with the puck making plays. There are a lot of low plays around the net. We have to check well tonight."
https://mapleleafshotstove.com/2025/02/23/toronto-maple-leafs-vs-chicago-blackhawks-game-57-preview-projected-lines-tv-broadcast-info/,Berube on the performance of the Holmberg – Tavares – Nylander line in the win over Carolina:,"They had a great first period. They had the puck a lot in the offensive zone and made plays. They did a lot of good things. They had good chemistry last night together. They had a strong game for us, and we’ll need them to do the same tonight."
https://mapleleafshotstove.com/2025/02/23/toronto-maple-leafs-vs-chicago-blackhawks-game-57-preview-projected-lines-tv-broadcast-info/,Berube on the challenge of playing a back-to-back out of the long break:,"Getting that first game out of the way, the timing could be better today. A lot of times, in back-to-backs this year, we’ve had good energy. After the 10-day layoff — or whatever it was — tonight, you could see some better execution and some better timing."
https://mapleleafshotstove.com/2025/02/23/toronto-maple-leafs-vs-chicago-blackhawks-game-57-preview-projected-lines-tv-broadcast-info/,Jake McCabe on the importance of not overlooking the Blackhawks:,"Anybody can beat anybody in this league. They have a lot of talented players. Some of them I am really familiar with and have played with recently, and Bedard can really shoot and is dangerous off the rush. We have to check really hard. That is our game: checking and forechecking, and I like our starts if we do that."
https://mapleleafshotstove.com/2024/03/24/toronto-maple-leafs-vs-carolina-hurricanes-preview-projected-lines-tv-broadcast-info-3/,Sheldon Keefe on the decision to reinsert TJ Brodie as well as the return of Ilya Lyubushkin on the blue line:,"We just figured, with the back-to-back, it makes sense to utilize our depth not unlike we did in the earlier back-to-back. It is a good chance to get Brodie and Lyubushkin back involved."
https://mapleleafshotstove.com/2024/03/24/toronto-maple-leafs-vs-carolina-hurricanes-preview-projected-lines-tv-broadcast-info-3/,Keefe on the message to Brodie ahead of his first game coming off of back-to-back healthy scratches:,"Just go out and play. A chance to watch the team compete on a night like last night is a good example of what we are looking for from all of our defense in terms of being competitive below our circles and helping us move the puck up the ice. He knows how to play the game. We are just hopeful that a little bit of time away gives him a chance to reboot, get back out, and compete against a tough team today. It is a chance for us to continue to utilize our depth, which I think is extremely important. The more injuries and illnesses that we have faced, the more that we have learned about the value of our depth. It is a chance for us to utilize that again."
https://mapleleafshotstove.com/2024/03/24/toronto-maple-leafs-vs-carolina-hurricanes-preview-projected-lines-tv-broadcast-info-3/,Keefe on the encouraging takeaways from yesterday’s game:,"The attitude that we played with and the assertiveness, especially defensively with the way that we closed, the physicality, and the way that we protected our net. Over the last couple of months, all of those things have been on display. It takes a lot of work, commitment, discipline, and energy. Last night, we had all of that. You want to be able to duplicate that as best as you can. Certainly, the opponent tonight will demand that."
https://mapleleafshotstove.com/2024/03/24/toronto-maple-leafs-vs-carolina-hurricanes-preview-projected-lines-tv-broadcast-info-3/,Keefe on whether there has been an added emphasis on physicality/assertiveness with the playoffs nearing:,"It has been an emphasis for us the entire season. There are a number of factors that go into doing it consistently: energy, discipline, commitment, and all of those types of things. Since the deadline has passed and we’ve brought in extra depth, Edmundson is going to bring that. Lyubushkin is going to bring that. Dewar is coming in on the forward end of things. These are guys who play hard, honest games. That just enhances it further. If you look at the others who have done it fairly consistently for us, on defense, in particular, it’s McCabe and Benoit. We think we have grown a lot in that area both in our personnel and our attitude."
https://mapleleafshotstove.com/2024/10/12/toronto-maple-leafs-vs-pittsburgh-penguins-game-3-projected-lines-tv-info/,Craig Berube on the anticipation for the home opener:,"Excited. We want to take what we did in the first two games, with how we played the game and our process in the game, and bring it to the home ice, too. There is no reason to change that."
https://mapleleafshotstove.com/2024/10/12/toronto-maple-leafs-vs-pittsburgh-penguins-game-3-projected-lines-tv-info/,Berube on the possibility of a run-and-gun game of traded chances against the Penguins:,"We don’t want that. Our team has done a good job of that so far. Montreal and Jersey are quick transition teams — fast teams who wish to play on the move. We want to play our game. We don’t want to get into that back-and-forth type of game. We want to have a territorial game. It is going to be important against Pittsburgh to have that territorial, hang onto pucks, be strong on pucks, and take away their transition game. They are very good down low in the offensive at creating offense. We have to get back, get into good coverage, and make sure we are heavy around our net tonight."
https://mapleleafshotstove.com/2024/10/12/toronto-maple-leafs-vs-pittsburgh-penguins-game-3-projected-lines-tv-info/,"Berube on Pontus Holmberg moving up to 2C if John Tavares can’t play, and what has been impressive about Holmberg’s game:","Just 200 feet. I see a lot of good in all three zones with him. He is very responsible. Plus, he gets in on the forecheck and is strong on pucks creating opportunities that way for himself and his linemates. He has done a good job on the PK, too."
https://mapleleafshotstove.com/2024/10/12/toronto-maple-leafs-vs-pittsburgh-penguins-game-3-projected-lines-tv-info/,Berube on his big guns going without a point through two games:,"Opportunities are there. They hit some posts. They’ve missed the net a little bit. It is not clean as much at times, but overall, I am happy with the effort. They are working and doing the right things. The scoring will come."
https://mapleleafshotstove.com/2024/10/12/toronto-maple-leafs-vs-pittsburgh-penguins-game-3-projected-lines-tv-info/,Oliver Ekman-Larsson on the team’s buy-in to Berube’s program:,"The guys worked really hard in the two games. That is something we want to build off of, come out tonight, and play the same way. We want to clean up some areas we want to be better at, and keep doing what we were doing well. I think Craig is keeping us really honest. Everyone knows what to do. When you have that feeling in the group, I think everyone knows what to expect from everyone else."
https://mapleleafshotstove.com/2024/10/12/toronto-maple-leafs-vs-pittsburgh-penguins-game-3-projected-lines-tv-info/,Mike Sullivan on whether he has talked with Auston Matthews about Team USA for the Four Nations Cup:,"We have had conversations already about that. I try to be respectful of their time and space. Certainly, we have had conversations already, and we will continue to have conversations at opportune times."
https://mapleleafshotstove.com/2024/10/12/toronto-maple-leafs-vs-pittsburgh-penguins-game-3-projected-lines-tv-info/,Sullivan on how Michael Bunting has settled into the Penguins lineup:,"Bunts has been a real good player for us since we got him. He seems to have fit into our lineup really well. He has played a lot with Geno. We think he has played extremely well there. He drags people into the fight, so to speak, and I think that is an aspect of his game that has really helped our team."
https://mapleleafshotstove.com/2024/11/08/toronto-maple-leafs-vs-detroit-red-wings-game-15-preview-projected-lines-tv-info/,Craig Berube on the team’s performance in Tuesday’s win over Boston without Auston Matthews:,"We played a good game. I have seen this over the years. We all have. One of your best players is out of the lineup, so everybody elevates their role a little bit. Everybody gets a little bit more of a different role at times. They did a good job. They did what we had to do. It is going to be the same tonight."
https://mapleleafshotstove.com/2024/11/08/toronto-maple-leafs-vs-detroit-red-wings-game-15-preview-projected-lines-tv-info/,Berube on his memories of Hall-of-Fame inductee Jeremy Roenick:,"Well, he sucker punched me in a skirmish one time when the refs had me. I never got the opportunity to really get him back in a game. Still time, though."
https://mapleleafshotstove.com/2024/11/08/toronto-maple-leafs-vs-detroit-red-wings-game-15-preview-projected-lines-tv-info/,Berube on Morgan Rielly’s recent play:,"More than anything, he is making good decisions with the puck and doing a good job in our own zone of checking well and being hard at our net. He’s taking the risk out of his game with the puck and making really good decisions with it."
https://mapleleafshotstove.com/2024/11/08/toronto-maple-leafs-vs-detroit-red-wings-game-15-preview-projected-lines-tv-info/,Morgan Rielly on his memories of competing against Hall-of-Fame inductee Pavel Datsyuk:,"The only memory that jumps out is Randy Carlyle aggressively trying to keep me off the ice when he was on the ice in my first season. I was fine with it. It was a little demoralizing, though. He is an incredible player. One of those guys who everyone idolizes in how he plays. Special player."
https://mapleleafshotstove.com/2024/11/08/toronto-maple-leafs-vs-detroit-red-wings-game-15-preview-projected-lines-tv-info/,Rielly on the team’s 36-19-2 record without Matthews:,"It makes me feel a little bit better. I know the record is pretty good when I am out of the lineup, too. I think it is just a matter of guys trying to take on more responsibility. You realize you are at a loss without him. Guys have to step up and pull more weight. The goal will always be to have that mentality when everyone is healthy and playing, but when you lose an important player like him, you need more out of everyone. When you are able to achieve that and come together as a team, guys take on more responsibility and play well. We were lucky enough to get a result we liked last time out. We will see if we can do it again."
https://mapleleafshotstove.com/2024/11/08/toronto-maple-leafs-vs-detroit-red-wings-game-15-preview-projected-lines-tv-info/,Rielly on the team’s power-play success without Matthews and the difference without him on the man advantage:,"I don’t think it changes anything, but you don’t have your top guy, so you have to step up. Everyone has to be a bit more “on.” You want to be able to achieve that when everyone is in and have the high level of execution — and we have had that times without everyone in — but with him out, guys have to step up. Do you change your plan? A little bit, because he is kind of the focus of it, but I don’t think that is a reflection of the results. It is just a different mentality."
https://mapleleafshotstove.com/2024/11/08/toronto-maple-leafs-vs-detroit-red-wings-game-15-preview-projected-lines-tv-info/,Chris Tanev on the team’s winning performance vs. Boston without Matthews:,"It is just about playing a team game and playing how we want to play — smart, simple, hard. As a team, that is what we have been growing toward as the season has gone on. We have had some really good games and a couple of games we haven’t liked, but for the most part, we have grown as a team. We saw that the other night against Boston. It is up to us to duplicate that effort."
https://mapleleafshotstove.com/2024/11/08/toronto-maple-leafs-vs-detroit-red-wings-game-15-preview-projected-lines-tv-info/,Rielly on the reasons for his successful partnership with OEL:,"I don’t know, but I have really enjoyed playing with him. Early on, when we played a bit together over the course of a game when were down, it worked well. It was easy chemistry. He is an extremely talented player. He has played for a long time. He has that experience as well. He is an easy guy to jump in with. I have enjoyed it a lot. He is a great puck mover and a great skater. He is tough defensively. I think it has been a lot of fun. Our goal is to continue to work together and build our game to ultimately help the team, but for the two of us, it has been really fun."
https://mapleleafshotstove.com/2024/11/08/toronto-maple-leafs-vs-detroit-red-wings-game-15-preview-projected-lines-tv-info/,Red Wings head coach Derek Lalonde on theMaple Leafsunder Craig Berube:,I personally have watched the last game back as part of my routine. It was the shutout of the Boston Bruins. They are probably similar to us. They have an emphasis on keeping the puck out of the net. They look really good. It’s going to be a really hard challenge for us tonight.
